episode,path_length
1,153.21089190467958
2,117.56265676186099
3,139.0342255522367
4,135.24966500305587
5,145.04844254746365
6,148.05188586231134
7,133.42884628043421
8,138.06143817477476
9,128.12468800375038
10,149.6680418469225
11,128.93859867781416
12,128.57981106822155
13,126.83423220717002
14,135.38569577791984
15,112.34651095250653
16,144.8396144854485
17,120.8661066957222
18,137.25383141828505
19,135.0668205425531
20,135.92174274761743
21,125.20336827230055
22,123.61585060624887
23,129.47981466304373
24,135.90062717659532
25,121.57149098606384
26,141.11830050110711
27,150.72417390840184
28,139.6195110448184
29,128.1690527907465
30,141.99819667423125
31,123.97148783976321
32,129.3266195124173
33,125.44966410303768
34,116.86488916838304
35,119.24062169235539
36,150.50113811256696
37,117.03351529413675
38,126.77737259214891
39,114.93595552103486
40,157.17048128840295
41,136.01118098017471
42,135.88448607190003
43,142.65209775946
44,136.07443795707493
45,157.29402510566322
46,156.05281283756338
47,124.50285383340173
48,138.6200214252284
49,142.79108662588266
50,157.8491536561482
51,139.54966208921778
52,145.08570309922735
53,119.58153828185932
54,141.82073208125178
55,156.22144320616877
56,141.18347379041612
57,143.59108302097803
58,130.6111833670756
59,124.52539486900733
60,127.03666793374879
61,134.77098140155562
62,129.78397829735823
63,147.39179426334536
64,159.47758832964087
65,123.98864675683018
66,123.15727691719628
67,118.22640436174709
68,126.43301229650673
69,154.57220369842392
70,148.24032520898012
71,134.716566003317
72,124.87564843738352
73,122.56194108549316
74,123.51462902363531
75,125.68153683496206
76,142.63372178180086
77,132.7349490531767
78,135.68570354208998
79,137.11951052609888
80,137.7006241821595
81,127.95433744935796
82,148.1739308719449
83,149.17586061969283
84,141.46925827823466
85,154.28935792260063
86,137.63717343290722
87,136.68276238812808
88,135.28986740472283
89,137.42834683211146
90,130.18985897220858
91,122.24549569968178
92,135.78692006952474
93,128.4484435947188
94,137.4805263968101
95,125.38103326911217
96,126.50408538681414
97,130.01168844303916
98,134.89890954755933
99,121.97270831600125
100,145.7680388460885
