time,area_explored,path_length
0.0,0.072625,0.0
3.0284269340113275,0.116825,3.0284269340113275
6.142640782493149,0.1592,6.142640782493149
9.20538246832738,0.20175,9.20538246832738
12.105382563694812,0.24125,12.105382563694812
19.01248898556041,0.278575,19.01248898556041
22.075230124729213,0.322025,22.075230124729213
25.07523107840353,0.36765,25.07523107840353
29.13502889025827,0.395975,29.13502889025827
34.04213643438588,0.424075,34.04213643438588
38.56761990146258,0.45835,38.56761990146258
41.723255066687265,0.498775,41.723255066687265
47.124473769520606,0.51185,47.124473769520606
50.124473769520606,0.538425,50.124473769520606
53.32152910028695,0.574925,53.32152910028695
67.65290129959124,0.5994,67.65290129959124
72.16711508332564,0.605775,72.16711508332564
91.60386696240515,0.618725,91.60386696240515
116.2040758085648,0.634025,116.2040758085648
121.58813796993415,0.659475,121.58813796993415
135.24326845326433,0.694775,135.24326845326433
138.5545375507002,0.709825,138.5545375507002
142.13738085852103,0.73165,142.13738085852103
156.84398236533772,0.805425,156.84398236533772
160.28956687537928,0.8368,160.28956687537928
174.14347909519933,0.861125,174.14347909519933
177.26479977594784,0.8989,177.26479977594784
180.3275402816849,0.93305,180.3275402816849
185.04175515706692,0.9713,185.04175515706692
188.79738959171652,0.9841,188.79738959171652
197.65424395998258,0.98815,197.65424395998258
204.3755652052413,0.996075,204.3755652052413
